# Created on: 4/10/2024 at 11:12:56 AM (PDT) | Created by: chris@omiq.ai | Dataset: Autogating from LLC example (Luma integration output) | Workflow: Autogating Demo Workflow Template (v1) - luma integration output | URL: https://demos.omiq.ai/workflows/workflow/253084698287980/analysis/exportstats?taskId=9&parentId=4&taskType=ExportStatsTask,,,,,,,,,,,,
file,value,measure,filter,ftr (prim),ftr (sec),$CYTSN,$DATE,$OP,$PROJ,GROUPNAME,TUBENAME,USERSETTINGNAME
file01.fcs,797202,count,Unfiltered,,,U0526,27-Oct-22,q1011252,QATL_A167_27Oct2022_A3,SP123123D01,A167_WB_Heparin_Tube_1,Q2 Assay Settings
file01.fcs,788283,count,Margins,,,U0526,27-Oct-22,q1011252,QATL_A167_27Oct2022_A3,SP123123D01,A167_WB_Heparin_Tube_1,Q2 Assay Settings
file01.fcs,449843,count,FSC_singlets,,,U0526,27-Oct-22,q1011252,QATL_A167_27Oct2022_A3,SP123123D01,A167_WB_Heparin_Tube_1,Q2 Assay Settings
file01.fcs,422841,count,Leukocytes,,,U0526,27-Oct-22,q1011252,QATL_A167_27Oct2022_A3,SP123123D01,A167_WB_Heparin_Tube_1,Q2 Assay Settings
file01.fcs,79937,count,Lymphocytes,,,U0526,27-Oct-22,q1011252,QATL_A167_27Oct2022_A3,SP123123D01,A167_WB_Heparin_Tube_1,Q2 Assay Settings
file01.fcs,12228,count,V500+ APC-H7+,,,U0526,27-Oct-22,q1011252,QATL_A167_27Oct2022_A3,SP123123D01,A167_WB_Heparin_Tube_1,Q2 Assay Settings
file01.fcs,47,count,V500+ APC-H7-,,,U0526,27-Oct-22,q1011252,QATL_A167_27Oct2022_A3,SP123123D01,A167_WB_Heparin_Tube_1,Q2 Assay Settings
file01.fcs,57,count,V500- APC-H7+,,,U0526,27-Oct-22,q1011252,QATL_A167_27Oct2022_A3,SP123123D01,A167_WB_Heparin_Tube_1,Q2 Assay Settings
file01.fcs,67604,count,V500- APC-H7-,,,U0526,27-Oct-22,q1011252,QATL_A167_27Oct2022_A3,SP123123D01,A167_WB_Heparin_Tube_1,Q2 Assay Settings
file01.fcs,12285,count,V500-APC-H7+ OR V500+APC-H7+,,,U0526,27-Oct-22,q1011252,QATL_A167_27Oct2022_A3,SP123123D01,A167_WB_Heparin_Tube_1,Q2 Assay Settings
file01.fcs,71,count,APC+ PE-Cy7+,,,U0526,27-Oct-22,q1011252,QATL_A167_27Oct2022_A3,SP123123D01,A167_WB_Heparin_Tube_1,Q2 Assay Settings
file01.fcs,2317,count,APC+ PE-Cy7-,,,U0526,27-Oct-22,q1011252,QATL_A167_27Oct2022_A3,SP123123D01,A167_WB_Heparin_Tube_1,Q2 Assay Settings
file01.fcs,444,count,APC- PE-Cy7+,,,U0526,27-Oct-22,q1011252,QATL_A167_27Oct2022_A3,SP123123D01,A167_WB_Heparin_Tube_1,Q2 Assay Settings
file01.fcs,9453,count,APC- PE-Cy7-,,,U0526,27-Oct-22,q1011252,QATL_A167_27Oct2022_A3,SP123123D01,A167_WB_Heparin_Tube_1,Q2 Assay Settings
file01.fcs,683,count,FITC+ APC+,,,U0526,27-Oct-22,q1011252,QATL_A167_27Oct2022_A3,SP123123D01,A167_WB_Heparin_Tube_1,Q2 Assay Settings
file01.fcs,8787,count,FITC+ APC-,,,U0526,27-Oct-22,q1011252,QATL_A167_27Oct2022_A3,SP123123D01,A167_WB_Heparin_Tube_1,Q2 Assay Settings
file01.fcs,1337,count,FITC- APC+,,,U0526,27-Oct-22,q1011252,QATL_A167_27Oct2022_A3,SP123123D01,A167_WB_Heparin_Tube_1,Q2 Assay Settings
file01.fcs,1478,count,FITC- APC-,,,U0526,27-Oct-22,q1011252,QATL_A167_27Oct2022_A3,SP123123D01,A167_WB_Heparin_Tube_1,Q2 Assay Settings
file01.fcs,100,count,PE+ APC+,,,U0526,27-Oct-22,q1011252,QATL_A167_27Oct2022_A3,SP123123D01,A167_WB_Heparin_Tube_1,Q2 Assay Settings
file01.fcs,1469,count,PE+ APC-,,,U0526,27-Oct-22,q1011252,QATL_A167_27Oct2022_A3,SP123123D01,A167_WB_Heparin_Tube_1,Q2 Assay Settings
file01.fcs,1920,count,PE- APC+,,,U0526,27-Oct-22,q1011252,QATL_A167_27Oct2022_A3,SP123123D01,A167_WB_Heparin_Tube_1,Q2 Assay Settings
file01.fcs,8796,count,PE- APC-,,,U0526,27-Oct-22,q1011252,QATL_A167_27Oct2022_A3,SP123123D01,A167_WB_Heparin_Tube_1,Q2 Assay Settings
file01.fcs,12067,count,V450+,,,U0526,27-Oct-22,q1011252,QATL_A167_27Oct2022_A3,SP123123D01,A167_WB_Heparin_Tube_1,Q2 Assay Settings
file01.fcs,9100,median,Unfiltered,Time,Time,U0526,27-Oct-22,q1011252,QATL_A167_27Oct2022_A3,SP123123D01,A167_WB_Heparin_Tube_1,Q2 Assay Settings
file01.fcs,9101,median,Margins,Time,Time,U0526,27-Oct-22,q1011252,QATL_A167_27Oct2022_A3,SP123123D01,A167_WB_Heparin_Tube_1,Q2 Assay Settings
file01.fcs,9068,median,FSC_singlets,Time,Time,U0526,27-Oct-22,q1011252,QATL_A167_27Oct2022_A3,SP123123D01,A167_WB_Heparin_Tube_1,Q2 Assay Settings
file01.fcs,9069,median,Leukocytes,Time,Time,U0526,27-Oct-22,q1011252,QATL_A167_27Oct2022_A3,SP123123D01,A167_WB_Heparin_Tube_1,Q2 Assay Settings
file01.fcs,9047,median,Lymphocytes,Time,Time,U0526,27-Oct-22,q1011252,QATL_A167_27Oct2022_A3,SP123123D01,A167_WB_Heparin_Tube_1,Q2 Assay Settings
file01.fcs,9036,median,V500+ APC-H7+,Time,Time,U0526,27-Oct-22,q1011252,QATL_A167_27Oct2022_A3,SP123123D01,A167_WB_Heparin_Tube_1,Q2 Assay Settings
file01.fcs,8997,median,V500+ APC-H7-,Time,Time,U0526,27-Oct-22,q1011252,QATL_A167_27Oct2022_A3,SP123123D01,A167_WB_Heparin_Tube_1,Q2 Assay Settings
file01.fcs,8926,median,V500- APC-H7+,Time,Time,U0526,27-Oct-22,q1011252,QATL_A167_27Oct2022_A3,SP123123D01,A167_WB_Heparin_Tube_1,Q2 Assay Settings
file01.fcs,9049,median,V500- APC-H7-,Time,Time,U0526,27-Oct-22,q1011252,QATL_A167_27Oct2022_A3,SP123123D01,A167_WB_Heparin_Tube_1,Q2 Assay Settings
file01.fcs,9036,median,V500-APC-H7+ OR V500+APC-H7+,Time,Time,U0526,27-Oct-22,q1011252,QATL_A167_27Oct2022_A3,SP123123D01,A167_WB_Heparin_Tube_1,Q2 Assay Settings
file01.fcs,8656,median,APC+ PE-Cy7+,Time,Time,U0526,27-Oct-22,q1011252,QATL_A167_27Oct2022_A3,SP123123D01,A167_WB_Heparin_Tube_1,Q2 Assay Settings
file01.fcs,8880,median,APC+ PE-Cy7-,Time,Time,U0526,27-Oct-22,q1011252,QATL_A167_27Oct2022_A3,SP123123D01,A167_WB_Heparin_Tube_1,Q2 Assay Settings
file01.fcs,9304,median,APC- PE-Cy7+,Time,Time,U0526,27-Oct-22,q1011252,QATL_A167_27Oct2022_A3,SP123123D01,A167_WB_Heparin_Tube_1,Q2 Assay Settings
file01.fcs,9089,median,APC- PE-Cy7-,Time,Time,U0526,27-Oct-22,q1011252,QATL_A167_27Oct2022_A3,SP123123D01,A167_WB_Heparin_Tube_1,Q2 Assay Settings
file01.fcs,8528,median,FITC+ APC+,Time,Time,U0526,27-Oct-22,q1011252,QATL_A167_27Oct2022_A3,SP123123D01,A167_WB_Heparin_Tube_1,Q2 Assay Settings
file01.fcs,9006,median,FITC+ APC-,Time,Time,U0526,27-Oct-22,q1011252,QATL_A167_27Oct2022_A3,SP123123D01,A167_WB_Heparin_Tube_1,Q2 Assay Settings
file01.fcs,9146,median,FITC- APC+,Time,Time,U0526,27-Oct-22,q1011252,QATL_A167_27Oct2022_A3,SP123123D01,A167_WB_Heparin_Tube_1,Q2 Assay Settings
file01.fcs,9514,median,FITC- APC-,Time,Time,U0526,27-Oct-22,q1011252,QATL_A167_27Oct2022_A3,SP123123D01,A167_WB_Heparin_Tube_1,Q2 Assay Settings
file01.fcs,10278,median,PE+ APC+,Time,Time,U0526,27-Oct-22,q1011252,QATL_A167_27Oct2022_A3,SP123123D01,A167_WB_Heparin_Tube_1,Q2 Assay Settings
file01.fcs,8825,median,PE+ APC-,Time,Time,U0526,27-Oct-22,q1011252,QATL_A167_27Oct2022_A3,SP123123D01,A167_WB_Heparin_Tube_1,Q2 Assay Settings
file01.fcs,8898,median,PE- APC+,Time,Time,U0526,27-Oct-22,q1011252,QATL_A167_27Oct2022_A3,SP123123D01,A167_WB_Heparin_Tube_1,Q2 Assay Settings
file01.fcs,9105,median,PE- APC-,Time,Time,U0526,27-Oct-22,q1011252,QATL_A167_27Oct2022_A3,SP123123D01,A167_WB_Heparin_Tube_1,Q2 Assay Settings
file01.fcs,9016,median,V450+,Time,Time,U0526,27-Oct-22,q1011252,QATL_A167_27Oct2022_A3,SP123123D01,A167_WB_Heparin_Tube_1,Q2 Assay Settings
file01.fcs,110254,median,Unfiltered,FSC-A,FSC-A,U0526,27-Oct-22,q1011252,QATL_A167_27Oct2022_A3,SP123123D01,A167_WB_Heparin_Tube_1,Q2 Assay Settings
file01.fcs,109693,median,Margins,FSC-A,FSC-A,U0526,27-Oct-22,q1011252,QATL_A167_27Oct2022_A3,SP123123D01,A167_WB_Heparin_Tube_1,Q2 Assay Settings
file01.fcs,161865,median,FSC_singlets,FSC-A,FSC-A,U0526,27-Oct-22,q1011252,QATL_A167_27Oct2022_A3,SP123123D01,A167_WB_Heparin_Tube_1,Q2 Assay Settings
file01.fcs,163011,median,Leukocytes,FSC-A,FSC-A,U0526,27-Oct-22,q1011252,QATL_A167_27Oct2022_A3,SP123123D01,A167_WB_Heparin_Tube_1,Q2 Assay Settings
file01.fcs,110584,median,Lymphocytes,FSC-A,FSC-A,U0526,27-Oct-22,q1011252,QATL_A167_27Oct2022_A3,SP123123D01,A167_WB_Heparin_Tube_1,Q2 Assay Settings
file01.fcs,99376,median,V500+ APC-H7+,FSC-A,FSC-A,U0526,27-Oct-22,q1011252,QATL_A167_27Oct2022_A3,SP123123D01,A167_WB_Heparin_Tube_1,Q2 Assay Settings
file01.fcs,111993,median,V500+ APC-H7-,FSC-A,FSC-A,U0526,27-Oct-22,q1011252,QATL_A167_27Oct2022_A3,SP123123D01,A167_WB_Heparin_Tube_1,Q2 Assay Settings
file01.fcs,150238,median,V500- APC-H7+,FSC-A,FSC-A,U0526,27-Oct-22,q1011252,QATL_A167_27Oct2022_A3,SP123123D01,A167_WB_Heparin_Tube_1,Q2 Assay Settings
file01.fcs,113118,median,V500- APC-H7-,FSC-A,FSC-A,U0526,27-Oct-22,q1011252,QATL_A167_27Oct2022_A3,SP123123D01,A167_WB_Heparin_Tube_1,Q2 Assay Settings
file01.fcs,99405,median,V500-APC-H7+ OR V500+APC-H7+,FSC-A,FSC-A,U0526,27-Oct-22,q1011252,QATL_A167_27Oct2022_A3,SP123123D01,A167_WB_Heparin_Tube_1,Q2 Assay Settings
file01.fcs,156268,median,APC+ PE-Cy7+,FSC-A,FSC-A,U0526,27-Oct-22,q1011252,QATL_A167_27Oct2022_A3,SP123123D01,A167_WB_Heparin_Tube_1,Q2 Assay Settings
file01.fcs,110251,median,APC+ PE-Cy7-,FSC-A,FSC-A,U0526,27-Oct-22,q1011252,QATL_A167_27Oct2022_A3,SP123123D01,A167_WB_Heparin_Tube_1,Q2 Assay Settings
file01.fcs,101950,median,APC- PE-Cy7+,FSC-A,FSC-A,U0526,27-Oct-22,q1011252,QATL_A167_27Oct2022_A3,SP123123D01,A167_WB_Heparin_Tube_1,Q2 Assay Settings
file01.fcs,97707,median,APC- PE-Cy7-,FSC-A,FSC-A,U0526,27-Oct-22,q1011252,QATL_A167_27Oct2022_A3,SP123123D01,A167_WB_Heparin_Tube_1,Q2 Assay Settings
file01.fcs,113340,median,FITC+ APC+,FSC-A,FSC-A,U0526,27-Oct-22,q1011252,QATL_A167_27Oct2022_A3,SP123123D01,A167_WB_Heparin_Tube_1,Q2 Assay Settings
file01.fcs,98052,median,FITC+ APC-,FSC-A,FSC-A,U0526,27-Oct-22,q1011252,QATL_A167_27Oct2022_A3,SP123123D01,A167_WB_Heparin_Tube_1,Q2 Assay Settings
file01.fcs,110380,median,FITC- APC+,FSC-A,FSC-A,U0526,27-Oct-22,q1011252,QATL_A167_27Oct2022_A3,SP123123D01,A167_WB_Heparin_Tube_1,Q2 Assay Settings
file01.fcs,98653,median,FITC- APC-,FSC-A,FSC-A,U0526,27-Oct-22,q1011252,QATL_A167_27Oct2022_A3,SP123123D01,A167_WB_Heparin_Tube_1,Q2 Assay Settings
file01.fcs,112567,median,PE+ APC+,FSC-A,FSC-A,U0526,27-Oct-22,q1011252,QATL_A167_27Oct2022_A3,SP123123D01,A167_WB_Heparin_Tube_1,Q2 Assay Settings
file01.fcs,99132,median,PE+ APC-,FSC-A,FSC-A,U0526,27-Oct-22,q1011252,QATL_A167_27Oct2022_A3,SP123123D01,A167_WB_Heparin_Tube_1,Q2 Assay Settings
file01.fcs,111587,median,PE- APC+,FSC-A,FSC-A,U0526,27-Oct-22,q1011252,QATL_A167_27Oct2022_A3,SP123123D01,A167_WB_Heparin_Tube_1,Q2 Assay Settings
file01.fcs,97935,median,PE- APC-,FSC-A,FSC-A,U0526,27-Oct-22,q1011252,QATL_A167_27Oct2022_A3,SP123123D01,A167_WB_Heparin_Tube_1,Q2 Assay Settings
file01.fcs,99338,median,V450+,FSC-A,FSC-A,U0526,27-Oct-22,q1011252,QATL_A167_27Oct2022_A3,SP123123D01,A167_WB_Heparin_Tube_1,Q2 Assay Settings
file01.fcs,79766,median,Unfiltered,FSC-W,FSC-W,U0526,27-Oct-22,q1011252,QATL_A167_27Oct2022_A3,SP123123D01,A167_WB_Heparin_Tube_1,Q2 Assay Settings
file01.fcs,79735,median,Margins,FSC-W,FSC-W,U0526,27-Oct-22,q1011252,QATL_A167_27Oct2022_A3,SP123123D01,A167_WB_Heparin_Tube_1,Q2 Assay Settings
file01.fcs,81099,median,FSC_singlets,FSC-W,FSC-W,U0526,27-Oct-22,q1011252,QATL_A167_27Oct2022_A3,SP123123D01,A167_WB_Heparin_Tube_1,Q2 Assay Settings
file01.fcs,81160,median,Leukocytes,FSC-W,FSC-W,U0526,27-Oct-22,q1011252,QATL_A167_27Oct2022_A3,SP123123D01,A167_WB_Heparin_Tube_1,Q2 Assay Settings
file01.fcs,75992,median,Lymphocytes,FSC-W,FSC-W,U0526,27-Oct-22,q1011252,QATL_A167_27Oct2022_A3,SP123123D01,A167_WB_Heparin_Tube_1,Q2 Assay Settings
file01.fcs,74785,median,V500+ APC-H7+,FSC-W,FSC-W,U0526,27-Oct-22,q1011252,QATL_A167_27Oct2022_A3,SP123123D01,A167_WB_Heparin_Tube_1,Q2 Assay Settings
